Grades Report for 202501,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,Instructor,Honor
HIST,1720,1,The West and the World I,40%,32%,18%,4%,1%,0%,0%,5%,0%,"Langenfeld, Kathryn A",
HIST,1730,1,The West and the World II,19%,36%,39%,0%,0%,0%,0%,6%,0%,"Moise, Edwin E",
HIST,1730,3,The West and the World II,73%,17%,4%,3%,2%,0%,0%,3%,0%,"Venkatesh, Archana",
HIST,1930,1,Modern World History,89%,9%,1%,0%,0%,0%,0%,1%,0%,"Hoge, Emily Elisabeth",
HIST,2990,2,Seminar: The Historian's Craft,79%,5%,0%,0%,0%,0%,0%,11%,5%,"Moore, Rachel Anne",
HIST,2990,3,Seminar: The Historian's Craft,31%,38%,13%,13%,0%,0%,0%,0%,6%,"Steelman, Austin Lee",
HIST,3100,1,History of Religion in the US,65%,18%,18%,0%,0%,0%,0%,0%,0%,"Jemison, Elizabeth L",
HIST,3120,1,Afr Amer Hist 1877 to Present,70%,27%,0%,0%,3%,0%,0%,0%,0%,"Bartley, Abel A",
HIST,3180,1,History of American Women,79%,9%,6%,3%,3%,0%,0%,0%,0%,"Regan, Amanda Eileen",
HIST,3240,1,Hist of the South II,54%,23%,15%,3%,0%,0%,0%,5%,0%,"Baker, Andrew H",
HIST,3390,1,Africa 1875-Present,60%,27%,7%,7%,0%,0%,0%,0%,0%,"Burns, James McDonald",
HIST,3700,1,Medieval History,43%,34%,11%,0%,3%,0%,0%,9%,0%,"Dunn, Caroline Dunn",
HIST,3840,1,Hist of Mod France,87%,7%,0%,0%,0%,0%,0%,7%,0%,"Hilliard, Christine Ryan",
HIST,3860,1,Hist Soviet Union,79%,18%,0%,0%,0%,0%,0%,3%,0%,"Hoge, Emily Elisabeth",
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,,
"Tuesday, June 3, 2025",,,,,,,,,,,,,Page 69 of 126,
Grades Report for 202501,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,Instructor,Honor
HIST,3890,7,Veterans Project,80%,0%,0%,0%,20%,0%,0%,0%,0%,"Burton, Orville Vernon",
HIST,3980,1,American Military Hist to 1916,48%,48%,0%,0%,0%,0%,0%,5%,0%,"Andrew, John R",
HIST,4360,1,Vietnam Wars,22%,22%,37%,0%,0%,0%,0%,15%,4%,"Moise, Edwin E",
HIST,4740,1,The Black Death,75%,19%,0%,0%,0%,0%,0%,6%,0%,"Dunn, Caroline Dunn",
HIST,4900,1,Food & Farms in US History,68%,11%,5%,0%,0%,0%,0%,5%,11%,"Stoil, Rebecca Anna",
HIST,4900,2,Film & History,73%,20%,7%,0%,0%,0%,0%,0%,0%,"Swails, D'Ondre Juwan",
HIST,4900,3,American Legal History,91%,0%,0%,0%,0%,0%,0%,0%,9%,"Wilson, Lee Brady",
HIST,4900,4,Global History of Slavery,50%,0%,0%,0%,50%,0%,0%,0%,0%,"Hassell, Stephanie N",
HIST,8910,1,Master's Thesis Research,0%,0%,0%,0%,0%,100%,0%,0%,0%,"Meng, Michael L",
HLTH,2020,1,Introduction to Public Health,93%,4%,0%,0%,0%,0%,0%,4%,0%,"Driver, Ally Grayson",
HLTH,2020,400,Introduction to Public Health,63%,37%,0%,0%,0%,0%,0%,0%,0%,"Welsh, Ralph Stewart",
HLTH,2020,401,Introduction to Public Health,88%,12%,0%,0%,0%,0%,0%,0%,0%,"Welsh, Ralph Stewart",
HLTH,2030,1,Health Care Sys,87%,13%,0%,0%,0%,0%,0%,0%,0%,"Staton, Tanya Lee",
HLTH,2030,2,Health Care Sys,95%,0%,5%,0%,0%,0%,0%,0%,0%,"Morgan, Amanda Raines",
HLTH,2030,3,Health Care Sys,86%,14%,0%,0%,0%,0%,0%,0%,0%,"Owen, Shannon Slate",
HLTH,2030,400,Health Care Sys,91%,5%,5%,0%,0%,0%,0%,0%,0%,"Morgan, Amanda Raines",
HLTH,2400,1,Deter of Hlth Behav,72%,6%,0%,6%,0%,0%,0%,17%,0%,"Hague, Sarah",
HLTH,2400,2,Deter of Hlth Behav,82%,6%,0%,6%,6%,0%,0%,0%,0%,"Hague, Sarah",
HLTH,2400,4,Deter of Hlth Behav,83%,11%,0%,0%,0%,0%,0%,0%,6%,"Stover, Amanda Nicole",
HLTH,2600,400,Medical Terminology & Comm,97%,3%,0%,0%,0%,0%,0%,0%,0%,"Morgan, Amanda Raines",
HLTH,2980,1,Human Health and Disease,89%,9%,0%,0%,0%,0%,0%,2%,0%,"Driver, Ally Grayson",
HLTH,2980,2,Human Health and Disease,96%,4%,0%,0%,0%,0%,0%,0%,0%,"Driver, Ally Grayson",
HLTH,2980,3,Human Health and Disease,90%,5%,2%,2%,0%,0%,0%,0%,0%,"Owen, Shannon Slate",
HLTH,2980,4,Human Health and Disease,90%,10%,0%,0%,0%,0%,0%,0%,0%,"Hague, Sarah",
HLTH,3030,1,Public Health Communication,83%,13%,4%,0%,0%,0%,0%,0%,0%,"Tugman, Becky Ann",
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,,
"Tuesday, June 3, 2025",,,,,,,,,,,,,Page 70 of 126,
Grades Report for 202501,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,Instructor,Honor
HLTH,3100,1,Women's Hlth Issues,89%,11%,0%,0%,0%,0%,0%,0%,0%,"Clinkscales, Amelia Beasley",
HLTH,3800,1,Epidemiology,50%,44%,6%,0%,0%,0%,0%,0%,0%,"Falta, Deborah Alma",
HLTH,3800,2,Epidemiology,89%,11%,0%,0%,0%,0%,0%,0%,0%,"Fan, Qiping",
HLTH,3800,400,Epidemiology,92%,5%,3%,0%,0%,0%,0%,0%,0%,"Davis, Pamela Harley Thornton",
HLTH,3990,1,Internship Abroad Prep Seminar,0%,0%,0%,0%,0%,100%,0%,0%,0%,"Novakovic, Christianna Danielle",
HLTH,4110,1,Hlth At-Risk Children & Fam,77%,17%,0%,3%,3%,0%,0%,0%,0%,"Tugman, Becky Ann",
HLTH,4200,2,Hlth Science Intern,82%,18%,0%,0%,0%,0%,0%,0%,0%,"Owen, Shannon Slate",
HLTH,4310,1,Public & Environ Hlt,50%,39%,11%,0%,0%,0%,0%,0%,0%,"Falta, Deborah Alma",
HLTH,4600,1,Health Info Systems,75%,25%,0%,0%,0%,0%,0%,0%,0%,"Jing, Xia",
HLTH,4700,1,Global Health,89%,11%,0%,0%,0%,0%,0%,0%,0%,"Novakovic, Christianna Danielle",
HLTH,4780,1,Health Policy Ethics and Law,83%,14%,3%,0%,0%,0%,0%,0%,0%,"Novakovic, Christianna Danielle",
HLTH,4790,1,Fin Mgmt & Hlth Budg,73%,18%,5%,0%,0%,0%,0%,5%,0%,"Truong, Khoa Dang",
HLTH,4800,1,Comm Hlth Promotion,87%,7%,7%,0%,0%,0%,0%,0%,0%,"Hague, Sarah",
HLTH,4900,3,Res Eval St Pub Hlth,85%,8%,0%,0%,8%,0%,0%,0%,0%,"ARJOMANDASKARI SIRIZI,",
,,,,,,,,,,,,,DELARAM,
HLTH,8020,400,Health Economics,60%,40%,0%,0%,0%,0%,0%,0%,0%,"Lartey, Stella Twumwaa",
HLTH,8130,400,Population Health and Research,71%,29%,0%,0%,0%,0%,0%,0%,0%,"Mayo, Rachel M",
HLTH,8130,500,Population Health and Research,80%,20%,0%,0%,0%,0%,0%,0%,0%,"Mayo, Rachel M",
HLTH,8210,500,Health Research I,80%,0%,0%,0%,0%,0%,0%,20%,0%,"Robb, Sara Wagner",
HLTH,8890,1,Sem in App Hlth Rsrch & Eval,0%,0%,0%,0%,0%,100%,0%,0%,0%,"Floyd, Sarah Bauer",
HON,2050,2,Entrepreneurship,96%,4%,0%,0%,0%,0%,0%,0%,0%,"Hudgins, James Keith",H
HON,2050,4,Clemson University Impact - SC,91%,9%,0%,0%,0%,0%,0%,0%,0%,"Pernotto, Eric T",H
HON,2070,3,Design Thinking Design Making,91%,0%,0%,0%,0%,0%,0%,9%,0%,"Harding, Daniel Nevin",H
HON,2210,1,The French Fantastic,88%,6%,6%,0%,0%,0%,0%,0%,0%,"Widgren, Kenneth David",H
HON,2210,2,Medical Humanities,89%,11%,0%,0%,0%,0%,0%,0%,0%,"McKelvey, Chelsea Rice",H
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,,
"Tuesday, June 3, 2025",,,,,,,,,,,,,Page 71 of 126,
Grades Report for 202501,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,Instructor,Honor
HON,2990,1,BSP Workshop,0%,0%,0%,0%,0%,100%,0%,0%,0%,"Smith, Sherece Alexandria",H
HON,3960,1,Solving Global Problems,84%,16%,0%,0%,0%,0%,0%,0%,0%,"Taydas Onur, Zeynep",H
HON,3980,4,CI: Developing Math Puzzles,89%,11%,0%,0%,0%,0%,0%,0%,0%,"Gallagher, Eliza Dargan",H
HON,3990,1,BSP Workshop,0%,0%,0%,0%,0%,100%,0%,0%,0%,"Smith, Sherece Alexandria",H
HON,4000,25,Honors Contract- CH 2240,0%,0%,0%,0%,0%,100%,0%,0%,0%,"Hickman, Thomas D",H
HON,4000,62,Honors Contract- BIOL 4950,0%,0%,0%,0%,0%,100%,0%,0%,0%,"South, April Christina Hall",H
HORT,2110,1,Greenhouse Production,30%,38%,26%,0%,2%,0%,0%,4%,0%,"Faust, James Emerson",
HORT,4040,1,Plant Propagation,20%,45%,25%,8%,3%,0%,0%,0%,0%,"Adelberg, Jeffrey W",
HORT,4050,1,Plant Propagation Techniq Lab,85%,15%,0%,0%,0%,0%,0%,0%,0%,"Adelberg, Jeffrey W",
HORT,4090,1,Senior Capstone Course,94%,6%,0%,0%,0%,0%,0%,0%,0%,"Vincent, Ellen Anita",
HORT,4200,1,Applied Turf Physiol,75%,25%,0%,0%,0%,0%,0%,0%,0%,"Liu, Haibo",
HORT,4330,1,Weed Management,24%,52%,24%,0%,0%,0%,0%,0%,0%,"Whitwell, Ted",
HP,8910,1,Thesis in Historic Pres,0%,0%,0%,0%,0%,100%,0%,0%,0%,"Bartlett, Laurel L",
HP,8920,2,Special Topics: VR Cult. Herit,67%,33%,0%,0%,0%,0%,0%,0%,0%,"Mamoli-Economou, Myrsini",
HPA,1010,1,Careers in Health Professions,0%,0%,0%,0%,0%,100%,0%,0%,0%,"Williams, Harolynn",
HPA,1010,2,Careers in Health Professions,0%,0%,0%,0%,0%,94%,0%,6%,0%,"Guinati, Barbara Guerra de",
,,,,,,,,,,,,,Souza,
HRD,8200,300,Human Perform Improv,85%,15%,0%,0%,0%,0%,0%,0%,0%,"Lombardozzi, Catherine Marie",
HRD,8800,300,Research Concepts,92%,0%,8%,0%,0%,0%,0%,0%,0%,"Frady, Kristin Kelly",
HUM,3010,1,Humanities,52%,40%,4%,0%,0%,0%,0%,0%,4%,"Knox, David K",
HUM,3090,1,Studies in Humanities,64%,27%,9%,0%,0%,0%,0%,0%,0%,"Meng, Michael L",
IE,2100,1,Design & Analysis of Work Syst,46%,39%,14%,0%,0%,0%,0%,0%,0%,"Kazemi, Zeinab",
IE,2140,1,Seminar in Industrial Engr,0%,0%,0%,0%,0%,100%,0%,0%,0%,"Taaffe, Kevin M",
IE,3010,1,Systems Design I,89%,11%,0%,0%,0%,0%,0%,0%,0%,"Jackson, Cullen Davis",
IE,3600,1,Industrial Apps of Prob/Stat I,28%,39%,23%,7%,0%,0%,0%,4%,0%,"Kharoufeh, Jeffrey Paul",
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,,
"Tuesday, June 3, 2025",,,,,,,,,,,,,Page 72 of 126,
Grades Report for 202501,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,Instructor,Honor
IE,3610,2,Industrial App of Prob/Stat II,61%,24%,12%,0%,0%,0%,0%,3%,0%,"Rahimian, Hamed",
IE,3800,1,Deterministic Operations Rsrch,68%,24%,6%,0%,2%,0%,0%,0%,0%,"Song, Yongjia",
IE,3810,1,Probabilistic Operations Rsrch,29%,29%,29%,13%,0%,0%,0%,0%,0%,"Khademi, Amin",
IE,3840,1,Engr Econ Analysis,76%,14%,4%,2%,2%,0%,0%,2%,0%,"Chavez-Negrete, Raul Alberto",
IE,3860,1,Production Planning & Control,79%,17%,3%,2%,0%,0%,0%,0%,0%,"Sharkey, Thomas Christos",
IE,4040,1,Prob Models in Renew Energy,0%,0%,0%,0%,0%,100%,0%,0%,0%,"Kharoufeh, Jeffrey Paul",
IE,4040,10,HF in Med Dev Reprocessing,0%,0%,0%,0%,0%,100%,0%,0%,0%,"Neyens, David M",
IE,4040,11,Personal Finance Practicum IE,0%,0%,0%,0%,0%,98%,0%,2%,0%,"Kharoufeh, Jeffrey Paul",
IE,4040,15,Healthcare Logistics,0%,0%,0%,0%,0%,100%,0%,0%,0%,"Taaffe, Kevin M",
IE,4040,19,Advanced Modeling Applications,0%,0%,0%,0%,0%,100%,0%,0%,0%,"Magagnotti, Mariah Soibhan",
IE,4300,1,Human Fact Engr in Healthcare,68%,18%,5%,0%,5%,0%,0%,5%,0%,"Neyens, David M",
IE,4400,1,Decision Support Systems,73%,12%,10%,5%,0%,0%,0%,0%,0%,"Magagnotti, Mariah Soibhan",
IE,4560,1,Supply Chain Design & Control,70%,22%,7%,0%,0%,0%,0%,0%,0%,"Humane, Prachita",
IE,4610,1,Quality Engineering,52%,30%,14%,2%,2%,0%,0%,0%,0%,"Magagnotti, Mariah Soibhan",
IE,4620,1,Six Sigma Quality,89%,9%,2%,0%,0%,0%,0%,0%,0%,"Humane, Prachita",
IE,4650,1,Facilities Planning & Design,79%,16%,5%,0%,0%,0%,0%,0%,0%,"Kurz, Mary Elizabeth",
IE,4670,1,Systems Design II,65%,35%,0%,0%,0%,0%,0%,0%,0%,"Messer, Jeffery B",
IE,4820,1,Systems Modeling,49%,35%,16%,0%,0%,0%,0%,0%,0%,"Isik, Tugce",
IE,4880,1,Human Factors Eng,74%,26%,0%,0%,0%,0%,0%,0%,0%,"Franca Barbieri, Dechristian",
IE,4880,2,Human Factors Eng,73%,23%,0%,0%,0%,0%,0%,5%,0%,"Franca Barbieri, Dechristian",
IE,6300,1,Human Fact Engr in Healthcare,82%,12%,0%,0%,0%,0%,0%,6%,0%,"Neyens, David M",
IE,6890,1,Indust Ergonomics & Automation,50%,38%,13%,0%,0%,0%,0%,0%,0%,"Aviles, Jessica",
IE,6910,3,Model Based System Engineering,97%,3%,0%,0%,0%,0%,0%,0%,0%,"Humane, Prachita",
IE,8020,1,Design of Human-Computer Sys,45%,45%,9%,0%,0%,0%,0%,0%,0%,"Chalil Madathil, Kapil",
IE,8150,1,Research Methods in Ergonomics,50%,50%,0%,0%,0%,0%,0%,0%,0%,"Hegde, Sudeep",
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,,
"Tuesday, June 3, 2025",,,,,,,,,,,,,Page 73 of 126,
Grades Report for 202501,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,Instructor,Honor
IE,8520,1,Prescriptive Analytics,70%,10%,10%,0%,10%,0%,0%,0%,0%,"Magagnotti, Mariah Soibhan",
IE,8540,1,SC & Logistics Modeling I,70%,30%,0%,0%,0%,0%,0%,0%,0%,"Ferrell, William G",
IE,8580,1,Case Study Supply Chn & Logist,78%,11%,11%,0%,0%,0%,0%,0%,0%,"Chavez-Negrete, Raul Alberto",
IE,8880,1,Advanced Probabilistic Methods,67%,33%,0%,0%,0%,0%,0%,0%,0%,"Isik, Tugce",
IE,9910,16,Doctoral Dissertation Research,0%,0%,0%,0%,0%,100%,0%,0%,0%,"Chalil Madathil, Kapil",
INNO,4990,5,Media Forensics,90%,0%,0%,0%,0%,0%,0%,10%,0%,"Warren, Patrick L",
INT,1510,1,UPIC Internship PT 1,0%,0%,0%,0%,0%,93%,6%,1%,0%,"Tucker Grogan, Jenna Jo",
INT,1520,1,UPIC Internship PT 2,0%,0%,0%,0%,0%,93%,6%,1%,0%,"Kelley-Hall, Caren",
INT,1530,1,UPIC Internship PT 3,0%,0%,0%,0%,0%,87%,13%,0%,0%,"Kelley-Hall, Caren",
INT,1540,1,UPIC Internship PT 4,0%,0%,0%,0%,0%,96%,4%,0%,0%,"Kelley-Hall, Caren",
INT,2010,1,Off-Campus Internship FT 1,0%,0%,0%,0%,0%,100%,0%,0%,0%,"Fiore, Lia Marie",
INT,3500,1,Glob Chal Internship Part-Time,92%,0%,5%,0%,0%,0%,0%,3%,0%,"Nunamaker, Troy D",
INT,8010,1,Graduate Student Internship,0%,0%,0%,0%,0%,100%,0%,0%,0%,"Fiore, Lia Marie",
ITAL,1010,1,Elementary Italian,86%,14%,0%,0%,0%,0%,0%,0%,0%,"Risso, Roberto",
ITAL,1020,1,Elementary Italian,64%,18%,9%,0%,0%,0%,0%,9%,0%,"Schmidt, Julia",
ITAL,1020,2,Elementary Italian,81%,19%,0%,0%,0%,0%,0%,0%,0%,"Schmidt, Julia",
ITAL,2020,1,Intermediate Italian,55%,36%,9%,0%,0%,0%,0%,0%,0%,"Schmidt, Julia",
ITAL,2020,2,Intermediate Italian,58%,17%,0%,8%,8%,0%,0%,8%,0%,"Schmidt, Julia",
JAPN,1010,1,Elementary Japanese,57%,19%,19%,0%,5%,0%,0%,0%,0%,"Saito, Kumiko",
JAPN,1020,1,Elementary Japanese,38%,29%,21%,0%,0%,0%,0%,13%,0%,"Saito, Satomi",
JAPN,2020,1,Intermed Japanese,36%,36%,21%,0%,0%,0%,0%,7%,0%,"Saito, Satomi",
JAPN,3060,1,Japanese Conversation & Comp,70%,10%,20%,0%,0%,0%,0%,0%,0%,"Ozawa, Miyabi",
JAPN,4010,1,Japanese Lit in Translation,77%,5%,9%,0%,5%,0%,0%,5%,0%,"Saito, Kumiko",
JAPN,4160,1,Japanese for Int'l Business II,55%,27%,18%,0%,0%,0%,0%,0%,0%,"Ozawa, Miyabi",
JAPN,4560,1,Japanese Film,43%,48%,5%,0%,0%,0%,0%,5%,0%,"Saito, Satomi",
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,,
"Tuesday, June 3, 2025",,,,,,,,,,,,,Page 74 of 126,
Grades Report for 202501,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,Instructor,Honor
JUST,2050,1,Professional Development in CJ,77%,11%,3%,0%,3%,0%,0%,6%,0%,"Brooks, Nathanael Gordon",
JUST,2050,2,Professional Development in CJ,55%,31%,5%,5%,0%,0%,0%,5%,0%,"Britz, Margaret Tina",
JUST,2880,1,The Criminal Justice System,77%,13%,4%,4%,0%,0%,0%,2%,0%,"Hester, Rhys A",
JUST,2880,2,The Criminal Justice System,58%,26%,6%,6%,3%,0%,0%,1%,0%,"Britz, Margaret Tina",
JUST,2890,1,Criminology,94%,3%,0%,0%,0%,0%,0%,3%,0%,"Marks, John Mulford",
JUST,2890,2,Criminology,52%,27%,15%,6%,0%,0%,0%,0%,0%,"Casey, William",
JUST,2890,3,Criminology,57%,27%,8%,3%,3%,0%,0%,3%,0%,"Lloyd, Kristin Marie",
JUST,3140,1,Victimology,85%,13%,2%,0%,0%,0%,0%,0%,0%,"Lloyd, Kristin Marie",
JUST,3280,1,Criminal Courts,96%,2%,0%,2%,0%,0%,0%,0%,0%,"Harris, Jenae Marie",
JUST,3400,1,Comparative Crime and Justice,43%,43%,4%,4%,4%,0%,0%,0%,0%,"Williams, Holly Verity",
JUST,4130,1,Race and Crime,70%,26%,4%,0%,0%,0%,0%,0%,0%,"Williams, Holly Verity",
JUST,4150,1,Homeland Security/Intelligence,85%,11%,4%,0%,0%,0%,0%,0%,0%,"Marks, John Mulford",
JUST,4280,1,Criminal Law,94%,4%,0%,0%,0%,0%,0%,2%,0%,"Harris, Jenae Marie",
JUST,4280,2,Criminal Law,83%,13%,4%,0%,0%,0%,0%,0%,0%,"Harris, Jenae Marie",
JUST,4290,1,Justice Administration,24%,54%,19%,0%,3%,0%,0%,0%,0%,"Brooks, Nathanael Gordon",
JUST,4480,1,Moot Court,89%,11%,0%,0%,0%,0%,0%,0%,0%,"Harris, Jenae Marie",
JUST,4680,1,Criminal Evidence,26%,43%,24%,2%,0%,0%,0%,4%,0%,"Britz, Margaret Tina",
JUST,4680,2,Criminal Evidence,43%,43%,9%,2%,4%,0%,0%,0%,0%,"Britz, Margaret Tina",
JUST,4880,1,Ethics in Criminal Justice,22%,50%,28%,0%,0%,0%,0%,0%,0%,"Brooks, Nathanael Gordon",
JUST,4910,1,Policing,94%,0%,6%,0%,0%,0%,0%,0%,0%,"Marks, John Mulford",
JUST,4910,2,Policing,83%,9%,0%,3%,3%,0%,0%,3%,0%,"Marks, John Mulford",
JUST,4930,1,Corrections,56%,31%,11%,0%,0%,0%,0%,2%,0%,"Casey, William",
LAIB,1270,2,Intro to Lang & Int'l Business,0%,0%,0%,0%,0%,100%,0%,0%,0%,"Ferrell, J Lee",
LANG,2540,1,Introduction to World Cinemas,42%,42%,11%,0%,0%,0%,0%,5%,0%,"Volkova, Olga Anatolyevna",
LANG,3000,1,Intro Linguistics,80%,7%,0%,0%,0%,0%,0%,13%,0%,"Smith, Daniel J",
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,,
"Tuesday, June 3, 2025",,,,,,,,,,,,,Page 75 of 126,
Grades Report for 202501,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,Instructor,Honor
LANG,3910,1,Medical Anthropology,69%,19%,13%,0%,0%,0%,0%,0%,0%,"Zhang, Yanhua",
LANG,4990,1,Language Portfolio,0%,0%,0%,0%,0%,80%,0%,2%,17%,"Chen, Su-I",
LARC,1160,1,History of Landscape Arch,48%,33%,15%,0%,0%,0%,0%,4%,0%,"Browning, Lara Margaret Mutel",
LARC,1160,2,History of Landscape Arch,38%,32%,14%,5%,3%,0%,0%,8%,0%,"Browning, Lara Margaret Mutel",
LARC,1520,1,Basic Design II,68%,26%,6%,0%,0%,0%,0%,0%,0%,"Pearson, David D",
LARC,1580,1,Digital Design & Represent,59%,41%,0%,0%,0%,0%,0%,0%,0%,"Pearson, David D",
LARC,2150,1,Planting Design,65%,22%,9%,0%,4%,0%,0%,0%,0%,"Browning, Lara Margaret Mutel",
LARC,2550,1,Community Design Studio,83%,17%,0%,0%,0%,0%,0%,0%,0%,"Slyce, Hannah V",
LARC,2550,2,Community Design Studio,58%,42%,0%,0%,0%,0%,0%,0%,0%,"Schurch, Thomas William",
LARC,3620,1,Design Implementation II,64%,28%,4%,0%,0%,0%,0%,0%,4%,"Alrayyan, Kawthar Mazin",
LARC,4230,1,Environmental Issues,50%,42%,8%,0%,0%,0%,0%,0%,0%,"Nicolette, Matthew Lawrence",
LARC,4530,1,Key Issues in Landscape Arch,82%,9%,0%,9%,0%,0%,0%,0%,0%,"Padua, Mary G",
LARC,4540,1,Urban Design Studio,60%,40%,0%,0%,0%,0%,0%,0%,0%,"Nassar, Hala Fouad",
LARC,4970,3,GIS in Landscape Architecture,33%,29%,0%,0%,13%,0%,0%,25%,0%,"Slyce, Hannah V",
LARC,8020,1,Landscape Arch Orientation II,60%,40%,0%,0%,0%,0%,0%,0%,0%,"Nicolette, Matthew Lawrence",
LARC,8300,1,History of Landscape Arch,50%,50%,0%,0%,0%,0%,0%,0%,0%,"Browning, Lara Margaret Mutel",
LARC,8920,1,Terminal Project,0%,0%,0%,0%,0%,100%,0%,0%,0%,"Alrayyan, Kawthar Mazin",
LARC,8970,5,GIS in Landscape Arch,50%,50%,0%,0%,0%,0%,0%,0%,0%,"Slyce, Hannah V",
LAW,3220,1,Legal Env of Bus,51%,39%,10%,0%,0%,0%,0%,0%,0%,"Bonney, Paul Robert",
LAW,3220,2,Legal Env of Bus,40%,48%,12%,0%,0%,0%,0%,0%,0%,"Bonney, Paul Robert",
LAW,3220,3,Legal Env of Bus,23%,43%,23%,8%,3%,0%,0%,3%,0%,"Toussaint, Kenneth Scott",
LAW,3220,4,Legal Env of Bus,41%,21%,21%,10%,3%,0%,0%,5%,0%,"Toussaint, Kenneth Scott",
LAW,3220,5,Legal Env of Bus,75%,20%,5%,0%,0%,0%,0%,0%,0%,"Edwards, Christopher Michael",
LAW,3220,6,Legal Env of Bus,75%,20%,5%,0%,0%,0%,0%,0%,0%,"Edwards, Christopher Michael",
LAW,3220,7,Legal Env of Bus,43%,42%,15%,0%,0%,0%,0%,0%,0%,"Jahn, Judson R",
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,,
"Tuesday, June 3, 2025",,,,,,,,,,,,,Page 76 of 126,
Grades Report for 202501,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,Instructor,Honor
LAW,3220,8,Legal Env of Bus,22%,51%,25%,2%,0%,0%,0%,0%,0%,"Jahn, Judson R",
LAW,3220,9,Legal Env of Bus,39%,42%,17%,0%,0%,0%,0%,2%,0%,"Jahn, Judson R",
LAW,3220,10,Legal Env of Bus,49%,29%,17%,3%,0%,0%,0%,3%,0%,"Workman, Phillips Stone",
LAW,3220,11,Legal Env of Bus,54%,32%,15%,0%,0%,0%,0%,0%,0%,"Workman, Phillips Stone",
LAW,3220,12,Legal Env of Bus,54%,43%,3%,0%,0%,0%,0%,0%,0%,"Workman, Phillips Stone",
LAW,3220,13,Legal Env of Bus,53%,32%,9%,0%,0%,0%,0%,6%,0%,"Workman, Phillips Stone",
LAW,3220,107,Legal Env of Bus,50%,50%,0%,0%,0%,0%,0%,0%,0%,"Jahn, Judson R",H
LAW,3220,400,Legal Env of Bus,57%,32%,7%,2%,0%,0%,0%,2%,0%,"Kisska-Schulze, Kathryn",
LAW,3220,401,Legal Env of Bus,32%,43%,15%,7%,2%,0%,0%,1%,0%,"Toussaint, Kenneth Scott",
LAW,3330,1,Real Estate Law,20%,36%,39%,0%,5%,0%,0%,0%,0%,"Toussaint, Kenneth Scott",
LAW,3330,2,Real Estate Law,16%,41%,33%,8%,2%,0%,0%,0%,0%,"Toussaint, Kenneth Scott",
LAW,3400,1,Global Bus Neg & Dispute Res,46%,50%,4%,0%,0%,0%,0%,0%,0%,"Jahn, Judson R",
LAW,4050,400,Construction Law,83%,18%,0%,0%,0%,0%,0%,0%,0%,"Jahn, Judson R",
