Grades Report for 202001,,,,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,SCP,SCN,SCD,Instructor,Honor
ACCT,3220,2,Accounting Information Sy,16%,32%,4%,4%,0%,0%,0%,16%,0%,20%,4%,4%,Maiberger Philip A,
ACCT,3220,3,Accounting Information Sy,19%,19%,0%,4%,0%,0%,0%,12%,0%,23%,4%,19%,Maiberger Philip A,
ACCT,3220,4,Accounting Information Sy,17%,17%,4%,0%,4%,0%,0%,17%,0%,33%,0%,8%,Maiberger Philip A,
ACCT,4040,1,Individual Taxation,69%,17%,3%,0%,0%,0%,0%,0%,0%,11%,0%,0%,Martin Sarah L,
ACCT,4040,2,Individual Taxation,73%,11%,3%,0%,0%,0%,0%,0%,0%,11%,0%,3%,Martin Sarah L,
ACCT,4040,3,Individual Taxation,47%,16%,5%,0%,3%,0%,0%,3%,0%,26%,0%,0%,Birtwistle Lisa,
,,,,,,,,,,,,,,,,Wheatley,
ACCT,4040,4,Individual Taxation,70%,20%,7%,0%,0%,0%,0%,0%,0%,0%,2%,0%,Martin Sarah L,
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,,,,,
"Monday, September 21, 2020",,,,,,,,,,,,,,,,Page 3 of 133,
Grades Report for 202001,,,,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,SCP,SCN,SCD,Instructor,Honor
ACCT,4100,1,Reporting and Mgmt Contr,59%,9%,9%,0%,0%,0%,0%,0%,0%,24%,0%,0%,Kennedy Frances A,
ACCT,4100,2,Reporting and Mgmt Contr,56%,33%,7%,0%,0%,0%,0%,0%,0%,4%,0%,0%,Kennedy Frances A,
ACCT,4100,3,Reporting and Mgmt Contr,39%,32%,3%,0%,0%,0%,0%,10%,0%,16%,0%,0%,McPhee Gregory,
,,,,,,,,,,,,,,,,Patrick,
ACCT,4150,1,Auditing,36%,42%,6%,0%,0%,0%,0%,0%,0%,12%,0%,3%,Vinson Jeremy,
,,,,,,,,,,,,,,,,Michael,
ACCT,4150,2,Auditing,32%,53%,9%,0%,0%,0%,0%,0%,0%,3%,0%,3%,Vinson Jeremy,
,,,,,,,,,,,,,,,,Michael,
ACCT,8520,1,Fin Acct Theory/Res,27%,47%,10%,0%,0%,0%,0%,0%,0%,17%,0%,0%,Welton Ralph Edward,
ACCT,8520,2,Fin Acct Theory/Res,40%,57%,0%,0%,0%,0%,0%,0%,0%,3%,0%,0%,Welton Ralph Edward,
ACCT,8540,1,Prof Responsibility,73%,20%,0%,0%,0%,0%,0%,0%,0%,7%,0%,0%,Radtke Robin R,
ACCT,8540,2,Prof Responsibility,84%,13%,0%,0%,0%,0%,0%,0%,0%,3%,0%,0%,Radtke Robin R,
ACCT,8540,3,Prof Responsibility,38%,58%,0%,0%,4%,0%,0%,0%,0%,0%,0%,0%,Radtke Robin R,
ACCT,8560,1,CPA Exam Review-A,0%,0%,0%,0%,0%,98%,0%,2%,0%,0%,0%,0%,Barnes James D,
ACCT,8620,1,Financial Auditing,94%,6%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,Harp Nancy Lee,
ACCT,8620,2,Financial Auditing,91%,9%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,Harp Nancy Lee,
ACCT,8710,2,Corporate Taxation,79%,21%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,Dalton Derek W.,
ACCT,8710,3,Corporate Taxation,78%,22%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,Dalton Derek W.,
ACCT,8730,1,Intl/Spec Tax Topic,55%,37%,0%,0%,0%,0%,0%,0%,0%,8%,0%,0%,Kisska-Schulze,
,,,,,,,,,,,,,,,,Kathryn,
ACCT,8740,1,Tax Aspects of Finan Planni,79%,18%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,Hine John M,
AFLS,2000,1,Agric For Domestic Study T,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,Bertrand Jean A,
AGED,2030,1,Teaching Agriscience,27%,36%,0%,9%,0%,0%,0%,9%,0%,9%,9%,0%,DiBenedetto,
,,,,,,,,,,,,,,,,Catherine A,
AGM,2050,1,Prin of Fabrication,21%,45%,10%,0%,0%,0%,0%,5%,0%,17%,2%,0%,Massey Hunter F,
AGM,2060,1,Machinery Mgt,27%,32%,9%,0%,0%,0%,0%,0%,0%,23%,0%,9%,Massey Hunter F,
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,,,,,
"Monday, September 21, 2020",,,,,,,,,,,,,,,,Page 4 of 133,
Grades Report for 202001,,,,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,SCP,SCN,SCD,Instructor,Honor
AGM,2200,1,Calc for Mechanized Agric,48%,27%,0%,0%,0%,0%,0%,3%,0%,15%,0%,6%,Turner Aaron Paul,
AGM,2210,1,Land Measurements,64%,31%,1%,0%,0%,0%,0%,0%,0%,1%,1%,1%,Privette Charles V,
AGM,4020,1,Irrigation System Design,44%,36%,4%,0%,4%,0%,0%,4%,0%,4%,0%,4%,Privette Charles V,
AGM,4100,1,Precision Ag Tech,52%,32%,8%,0%,2%,0%,0%,0%,0%,4%,0%,2%,Massey Hunter F,
AGM,4520,1,Mobile Power,55%,32%,6%,0%,0%,0%,0%,0%,0%,6%,0%,0%,Koc Ali Bulent,
AGM,4720,1,Capstone,74%,21%,6%,0%,0%,0%,0%,0%,0%,0%,0%,0%,Chastain John P,
AGRB,2020,1,Agricultural Economics,40%,27%,8%,2%,2%,0%,0%,2%,0%,11%,0%,8%,Ureta Julie Carl Pingol,
AGRB,2050,1,Agriculture and Society,20%,27%,16%,0%,0%,0%,0%,5%,0%,24%,0%,7%,Vassalos Michael,
AGRB,3080,1,Quant Agribusiness Analysi,18%,18%,9%,0%,0%,0%,0%,3%,0%,25%,8%,18%,Zhang Lisha,
AGRB,3190,1,Agribusiness Management,19%,22%,12%,2%,2%,0%,0%,5%,0%,21%,3%,14%,Vassalos Michael,
AGRB,3570,1,Natural Resources Econom,20%,42%,8%,0%,0%,0%,0%,4%,0%,26%,0%,0%,Willis David Brian,
AGRB,4020,1,Production Economics,17%,31%,7%,7%,0%,0%,0%,7%,0%,14%,0%,17%,De Figueiredo Silva,
,,,,,,,,,,,,,,,,Felipe,
AGRB,4080,1,Quant Agribusiness Analysi,7%,24%,10%,7%,0%,0%,0%,2%,0%,24%,10%,17%,Zhang Lisha,
AGRB,4560,1,Prices,47%,27%,4%,4%,0%,0%,0%,4%,0%,8%,0%,6%,Bolotova Yuliya,
,,,,,,,,,,,,,,,,Valentinovna,
AGRB,4570,1,"Natural Res Use, Tech & P",46%,23%,0%,8%,0%,0%,0%,8%,0%,15%,0%,0%,Willis David Brian,
AL,3340,401,Social Issues in Athletic Lea,79%,21%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,Soles Misty B,
AL,3490,400,Principles of Coaching,60%,20%,4%,0%,0%,0%,0%,0%,0%,12%,0%,4%,Cadorette Deborah Jo,
AL,3490,401,Principles of Coaching,54%,29%,0%,0%,0%,0%,0%,4%,0%,13%,0%,0%,Cadorette Deborah Jo,
AL,3490,402,Principles of Coaching,57%,22%,4%,0%,0%,0%,0%,0%,0%,17%,0%,0%,Cadorette Deborah Jo,
AL,3490,403,Principles of Coaching,76%,4%,0%,0%,0%,0%,0%,12%,0%,4%,0%,4%,Cadorette Deborah Jo,
AL,3490,404,Principles of Coaching,88%,0%,4%,0%,0%,0%,0%,0%,0%,4%,4%,0%,Whitrow Nicholas,
,,,,,,,,,,,,,,,,Philip Edward,
AL,3490,404,Principles of Coaching,88%,0%,4%,0%,0%,0%,0%,0%,0%,4%,4%,0%,Whitrow Nicholas,
,,,,,,,,,,,,,,,,Philip Edward,
Course Sections that meet the following conditions are not included: Undergraduate classes with less than 10 students or Graduate classes with less than 5,,,,,,,,,,,,,,,,,
students.,"In addition, if a section has all but 1 student making a common grade (example: All but one student makes a ""B"" in a class), the section is excluded.",,,,,,,,,,,,,,,,
"Monday, September 21, 2020",,,,,,,,,,,,,,,,Page 5 of 133,
Grades Report for 202001,,,,,,,,,,,,,,,,,
Course,Numbe,Section,Course Title,A,B,C,D,F,P,F(P),W,I,SCP,SCN,SCD,Instructor,Honor
AL,3490,406,Principles of Coaching,96%,0%,0%,0%,0%,0%,0%,0%,0%,4%,0%,0%,Whitrow Nicholas,
,,,,,,,,,,,,,,,,Philip Edward,
AL,3490,406,Principles of Coaching,96%,0%,0%,0%,0%,0%,0%,0%,0%,4%,0%,0%,Whitrow Nicholas,
,,,,,,,,,,,,,,,,Philip Edward,
AL,3490,407,Principles of Coaching,64%,12%,12%,0%,0%,0%,0%,4%,0%,8%,0%,0%,Mezzanotte Frank P,
AL,3490,408,Principles of Coaching,75%,21%,0%,0%,0%,0%,0%,0%,0%,4%,0%,0%,Plumblee John T,
AL,3490,409,Principles of Coaching,64%,16%,0%,0%,0%,0%,0%,4%,0%,16%,0%,0%,Plumblee John T,
AL,3490,410,Principles of Coaching,92%,0%,0%,0%,0%,0%,0%,8%,0%,0%,0%,0%,Whitrow Nicholas,
,,,,,,,,,,,,,,,,Philip Edward,
AL,3490,410,Principles of Coaching,92%,0%,0%,0%,0%,0%,0%,8%,0%,0%,0%,0%,Whitrow Nicholas,
,,,,,,,,,,,,,,,,Philip Edward,
AL,3490,411,Principles of Coaching,50%,29%,0%,0%,0%,0%,0%,4%,0%,17%,0%,0%,Connor Clyde Keith,
AL,3490,412,Principles of Coaching,92%,4%,0%,0%,0%,0%,0%,0%,0%,4%,0%,0%,Neuder Joel P,
AL,3490,413,Principles of Coaching,71%,13%,4%,0%,0%,0%,0%,0%,0%,4%,8%,0%,Plumblee John T,
AL,3490,414,Principles of Coaching,68%,8%,4%,8%,0%,0%,0%,0%,0%,8%,0%,4%,Mezzanotte Frank P,
AL,3500,400,Sci Basis I/Ex Phy,24%,16%,12%,4%,0%,0%,0%,0%,0%,28%,4%,12%,Godfrey Michael G,
AL,3500,401,Sci Basis I/Ex Phy,20%,32%,8%,4%,0%,0%,0%,4%,0%,32%,0%,0%,Godfrey Michael G,
